% Model:              igem stress calculation.mph
% Version:            COMSOL 5.2.1.262
% Date:               Mar 18 2031, 12:11
% Table:              Probe Table 4 - 
% flow                   comp1.aveop1(spf.mu*spf.sr) (Pa)
0.1                      0.005120364111184928
0.2                      0.010240756466348429
0.30000000000000004      0.015361177082107394
0.4                      0.020481625975084582
0.5                      0.025602103161907704
0.6                      0.030722608659210136
0.7000000000000001       0.035843142483631185
0.8                      0.040963704651814516
0.9                      0.04608429518041064
1                        0.0512049140860744
1.1                      0.056325561385465295
1.2000000000000002       0.061446237095249746
1.3000000000000003       0.06656694123209844
1.4000000000000001       0.07168767381268756
1.5000000000000002       0.07680843485369922
1.6                      0.08192922437181877
1.7000000000000002       0.08705004238373873
1.8000000000000003       0.0921708889061564
1.9000000000000001       0.09729176395577248
2                        0.10241266754929457
2.1                      0.10753359970343633
2.2                      0.11265456043491417
2.3000000000000003       0.11777554976044946
2.4000000000000004       0.12289656769677229
2.5000000000000004       0.12801761426061203
2.6                      0.13313868946870636
2.7                      0.13825979333780056
2.8000000000000003       0.1433809258846366
2.9000000000000004       0.14850208712596918
3.0000000000000004       0.15362327707855614
3.1                      0.1587444957591585
3.2                      0.1638657431845417
3.3000000000000003       0.16898701937147542
3.4000000000000004       0.1741083243367387
3.5000000000000004       0.17922965809711106
3.6                      0.18435102066937822
3.7                      0.1894724120703296
3.8000000000000003       0.19459383231676056
3.9000000000000004       0.19971528142547104
4                        0.2048367594132608
4.1                      0.20995826629694683
4.2                      0.21507980209333277
4.3                      0.22020136681923838
4.3999999999999995       0.22532296049149073
4.5                      0.23044458312691293
4.6                      0.23556623474233593
4.7                      0.2406879153545964
4.8                      0.24580962498053238
4.9                      0.25093136363698804
5                        0.25605313134081575
5.5                      0.2816624061617146
6                        0.3072724096958636
6.5                      0.332883144054955
7                        0.35849461135236904
7.5                      0.3841068137039372
8                        0.40971975322791115
8.5                      0.43533343204482927
9                        0.4609478522774806
9.5                      0.4865630160508021
10                       0.5121789254918608
11                       0.5634129898953045
12                       0.6146500625431832
13                       0.6658901605196903
14                       0.7171333014400848
15                       0.7683795023510811
16                       0.8196287810620306
17                       0.8708811544014309
18                       0.922136639076521
19                       0.9733952522875644
20                       1.0246570112483213
21                       1.075921933183989
22                       1.1271900353291173
23                       1.1784613349255793
24                       1.2297358492206487
25                       1.281013595464891
26                       1.3322945909103256
27                       1.3835788528084438
28                       1.4348663984079566
29                       1.4861572457007248
30                       1.537451413912179
31                       1.588748920404464
32                       1.6400497799660003
33                       1.6913540103461946
34                       1.7426616313736478
35                       1.79397265971528
36                       1.8452871102774195
37                       1.8966050002109747
38                       1.9479263466465921
39                       1.9992511663139592
40                       2.050579476343068
41                       2.10191129373547
42                       2.153246634291364
43                       2.204585515200781
44                       2.2559279547345654
45                       2.307273967728939
46                       2.3586235723526316
47                       2.40997678489027
48                       2.4613336224941302
49                       2.512694101252841
50                       2.5640582390181557
55                       2.820934409558096
60                       3.0779047184879795
65                       3.3349712128186217
70                       3.5921362299642663
75                       3.8494008211219577
80                       4.106767218500013
85                       4.364238093341208
90                       4.62181430627755
95                       4.879499116768887
100                      5.137292990853735
110                      5.653212172794176
120                      6.169585913709712
130                      6.686427984073128
140                      7.2037517941488876
150                      7.721567476362206
160                      8.239885050235083
170                      8.75871344348619
180                      9.278064076472932
190                      9.797946021022664
200                      10.31837361752064
210                      10.839341771591773
220                      11.3608688079638
230                      11.882948122191564
240                      12.405590799759512
250                      12.928800976109072
260                      13.452584395662177
270                      13.97696822206989
280                      14.501943382815885
290                      15.027527713957774
300                      15.553701939023298
